Wall time,Step,Value
1495412798.767993,206599,-0.36000001430511475
1495412802.978129,207299,-0.25999999046325684
1495412806.077147,207799,-0.3100000023841858
1495412806.65974,207899,-0.6000000238418579
1495412807.29271,207999,-0.30000001192092896
1495412808.582837,208199,-0.30000001192092896
1495412809.17441,208299,-0.30000001192092896
1495412810.414729,208499,-0.28999999165534973
1495412811.583327,208699,-0.2800000011920929
1495412813.885616,209099,-0.33000001311302185
1495412816.166945,209499,-0.3700000047683716
1495412819.076665,209999,-0.41999998688697815
1495412820.226393,210199,-0.3499999940395355
1495412824.331042,210899,-0.36000001430511475
1495412825.561067,211099,-0.3400000035762787
1495412826.143,211199,-0.2800000011920929
1495412829.116223,211699,-0.25999999046325684
1495412831.547989,212099,-0.23000000417232513
1495412834.510338,212599,-0.27000001072883606
1495412835.654453,212799,-0.3799999952316284
1495412836.219142,212899,-0.3199999928474426
1495412842.149386,213899,-0.36000001430511475
1495412842.754975,213999,-0.3499999940395355
1495412845.204255,214399,-0.17000000178813934
1495412847.022702,214699,-0.33000001311302185
1495412848.878594,214999,-0.27000001072883606
1495412849.560808,215099,-0.27000001072883606
1495412851.300544,215399,-0.17000000178813934
1495412851.935428,215499,-0.3199999928474426
1495412853.149146,215699,-0.4099999964237213
1495412856.215436,216199,0.8299999833106995
1495412856.82532,216299,-0.25999999046325684
1495412860.864567,216999,-0.23000000417232513
1495412861.441644,217099,-0.38999998569488525
1495412863.767175,217499,-0.3400000035762787
1495412864.982444,217699,-0.30000001192092896
1495412866.159369,217899,-0.3400000035762787
1495412868.563255,218299,-0.5199999809265137
1495412874.705095,219299,-1.4900000095367432
1495412875.855314,219499,-0.3499999940395355
1495412876.995591,219699,-0.28999999165534973
1495412877.562473,219799,-0.3400000035762787
1495412879.845457,220199,0.9900000095367432
1495412881.764192,220499,-0.4000000059604645
1495412888.373075,221299,-0.3100000023841858
1495412891.86132,221699,0.8799999952316284
1495412900.912432,223099,1.0
1495412903.368494,223499,-1.5700000524520874
1495412904.546049,223699,-0.4300000071525574
1495412907.400315,224199,-0.38999998569488525
1495412907.984105,224299,0.699999988079071
1495412909.151012,224499,-0.33000001311302185
1495412910.312098,224699,0.7400000095367432
1495412910.893438,224799,-0.09000000357627869
1495412912.090803,224999,-0.4300000071525574
1495412913.245262,225199,-0.4000000059604645
1495412913.823997,225299,-0.6700000166893005
1495412918.037332,225999,-0.33000001311302185
1495412919.73605,226299,-1.409999966621399
1495412922.67196,226799,-0.3100000023841858
1495412929.976304,227999,0.5099999904632568
1495412932.242076,228399,1.0
1495412934.0146,228699,-0.20999999344348907
1495412939.821596,229699,-0.36000001430511475
1495412943.261888,230299,-0.14000000059604645
1495412943.863851,230399,-0.23999999463558197
1495412945.007775,230599,0.9700000286102295
1495412946.792015,230899,-0.28999999165534973
1495412948.546484,231199,-0.18000000715255737
1495412949.136613,231299,-0.27000001072883606
1495412949.711742,231399,-0.46000000834465027
1495412955.647083,232399,-0.30000001192092896
